macOS 统一 ONNX Runtime C API 推理结果
==========================================
平台: macOS
总样本数: 100
正确预测: 99
准确率: 99.00%
平均推理时间: 0.37 ms
推理速度: 2726.8 FPS

样本详细结果:
样本   0: 真实=2, 预测=2, 置信度=1.000, 时间=0.54 ms, 正确
样本  66: 真实=0, 预测=0, 置信度=1.000, 时间=0.34 ms, 正确
样本  67: 真实=6, 预测=6, 置信度=1.000, 时间=0.34 ms, 正确
样本  68: 真实=4, 预测=4, 置信度=1.000, 时间=0.34 ms, 正确
样本  69: 真实=6, 预测=6, 置信度=1.000, 时间=0.34 ms, 正确
样本  70: 真实=0, 预测=0, 置信度=1.000, 时间=0.35 ms, 正确
样本  71: 真实=6, 预测=6, 置信度=1.000, 时间=0.34 ms, 正确
样本  72: 真实=9, 预测=9, 置信度=1.000, 时间=0.34 ms, 正确
样本  73: 真实=2, 预测=2, 置信度=0.998, 时间=0.34 ms, 正确
样本  74: 真实=8, 预测=8, 置信度=1.000, 时间=0.34 ms, 正确
样本  75: 真实=7, 预测=7, 置信度=1.000, 时间=0.34 ms, 正确
样本  76: 真实=5, 预测=5, 置信度=1.000, 时间=0.34 ms, 正确
样本  77: 真实=9, 预测=9, 置信度=1.000, 时间=0.34 ms, 正确
样本  78: 真实=7, 预测=7, 置信度=1.000, 时间=0.33 ms, 正确
样本  79: 真实=0, 预测=0, 置信度=1.000, 时间=0.33 ms, 正确
样本  80: 真实=5, 预测=5, 置信度=1.000, 时间=0.33 ms, 正确
样本  81: 真实=4, 预测=4, 置信度=1.000, 时间=0.33 ms, 正确
样本  82: 真实=1, 预测=1, 置信度=1.000, 时间=0.33 ms, 正确
样本  83: 真实=0, 预测=0, 置信度=0.998, 时间=0.33 ms, 正确
样本  84: 真实=7, 预测=7, 置信度=1.000, 时间=0.33 ms, 正确
样本  85: 真实=3, 预测=3, 置信度=1.000, 时间=0.34 ms, 正确
样本  86: 真实=3, 预测=3, 置信度=1.000, 时间=0.34 ms, 正确
样本  87: 真实=1, 预测=1, 置信度=1.000, 时间=0.33 ms, 正确
样本  88: 真实=5, 预测=5, 置信度=1.000, 时间=0.33 ms, 正确
样本  89: 真实=6, 预测=6, 置信度=1.000, 时间=0.33 ms, 正确
样本  90: 真实=9, 预测=9, 置信度=1.000, 时间=0.34 ms, 正确
样本  91: 真实=0, 预测=0, 置信度=1.000, 时间=0.33 ms, 正确
样本  92: 真实=3, 预测=3, 置信度=1.000, 时间=0.33 ms, 正确
样本  93: 真实=6, 预测=6, 置信度=1.000, 时间=0.33 ms, 正确
样本  94: 真实=1, 预测=1, 置信度=1.000, 时间=0.33 ms, 正确
样本  95: 真实=3, 预测=3, 置信度=0.999, 时间=0.33 ms, 正确
样本  96: 真实=0, 预测=0, 置信度=1.000, 时间=0.33 ms, 正确
样本  97: 真实=1, 预测=1, 置信度=1.000, 时间=0.32 ms, 正确
样本  98: 真实=8, 预测=8, 置信度=1.000, 时间=0.32 ms, 正确
样本  99: 真实=0, 预测=0, 置信度=1.000, 时间=0.32 ms, 正确
